GeneName	GoTerm
YBL050W	GO:0032781
YBL050W	GO:0035494
YBL050W	GO:0048280
YBL051C	GO:0000077
YBL051C	GO:0000086
YBL051C	GO:0016973
YBL051C	GO:2000815
YBL051C	GO:0071028
YBL052C	GO:0045944
YBL052C	GO:0045892
YBL052C	GO:0006325
YBL052C	GO:0030466
YBL052C	GO:0006348
YBL052C	GO:0043967
YBL052C	GO:0016569
YBL052C	GO:0016573
YBL052C	GO:0006355
YBL054W	GO:0006357
YBL055C	GO:0034599
YBL055C	GO:0006309
YBL056W	GO:0000188
YBL056W	GO:0071470
YBL056W	GO:0006470
YBL056W	GO:0000079
YBL056W	GO:0032873
YBL057C	GO:0032435
YBL058W	GO:0031468
YBL058W	GO:0007030
YBL058W	GO:0043666
YBL058W	GO:0043161
YBL058W	GO:0031134
YBL058W	GO:0030433
YBL058W	GO:0005977
YBL058W	GO:0000045
YBL058W	GO:0061025
YBL058W	GO:0034727
YBL058W	GO:0030437
YBL059C-A	GO:0033108
YBL059W	GO:0008150
YBL060W	GO:0032012
YBL060W	GO:0051666
YBL060W	GO:0010513
YBL060W	GO:0008104
YBL061C	GO:0043085
YBL061C	GO:0034221
YBL063W	GO:0007049
YBL063W	GO:0030543
YBL063W	GO:0000022
YBL063W	GO:0007019
YBL063W	GO:0051301
YBL063W	GO:0000070
YBL063W	GO:0090307
YBL063W	GO:0000073
YBL063W	GO:0007018
YBL064C	GO:0098869
YBL064C	GO:0042744
YBL064C	GO:0034599
YBL064C	GO:0046686
YBL064C	GO:0045454
YBL064C	GO:0055114
YBL066C	GO:0030435
YBL066C	GO:0006355
YBL066C	GO:0006357
YBL066C	GO:0006351
YBL066C	GO:0008150
YBL067C	GO:0006511
YBL067C	GO:0010995
YBL067C	GO:0016579
YBL067C	GO:0006508
YBL068W	GO:0006015
YBL068W	GO:0009165
YBL068W	GO:0031505
YBL068W	GO:0009156
YBL068W	GO:0044249
YBL068W	GO:0016310
YBL068W	GO:0006164
YBL068W	GO:0009116
YBL069W	GO:0055114
YBL069W	GO:0006612
YBL069W	GO:0032596
YBL071C	GO:0008150
YBL071C-B	GO:0008150
YBL071W-A	GO:0022900
YBL071W-A	GO:0017183
YBL071W-A	GO:0002098
YBL072C	GO:0006412
YBL072C	GO:0002181
YBL072C	GO:0000462
YBL074C	GO:0006397
YBL074C	GO:0000244
YBL074C	GO:0008380
YBL075C	GO:0034605
YBL075C	GO:0034620
YBL075C	GO:0006457
YBL075C	GO:0006515
YBL075C	GO:0006986
YBL075C	GO:0016192
YBL075C	GO:0006616
YBL075C	GO:0051085
YBL075C	GO:0042026
YBL076C	GO:0106074
YBL076C	GO:0006418
YBL076C	GO:0006428
YBL076C	GO:0006412
YBL078C	GO:0006995
YBL078C	GO:0006914
YBL078C	GO:0015031
YBL078C	GO:0016236
YBL078C	GO:0034497
YBL078C	GO:0071211
YBL078C	GO:0006888
YBL078C	GO:0034629
YBL078C	GO:0000422
YBL078C	GO:0044805
YBL078C	GO:0061025
YBL078C	GO:0061709
YBL078C	GO:0016241
YBL078C	GO:0034727
YBL078C	GO:0032258
YBL079W	GO:0070869
YBL079W	GO:0051292
YBL079W	GO:0036228
YBL079W	GO:0006342
YBL079W	GO:0007059
YBL079W	GO:0034398
YBL079W	GO:0016584
YBL079W	GO:0006913
YBL079W	GO:0006606
YBL079W	GO:0015031
YBL079W	GO:0051028
YBL079W	GO:0000972
YBL080C	GO:0006412
YBL080C	GO:0032543
YBL080C	GO:0070681
YBL081W	GO:0008150
YBL082C	GO:0097502
YBL082C	GO:0006486
YBL082C	GO:0006490
YBL084C	GO:0016567
YBL084C	GO:0007049
YBL084C	GO:0051301
YBL084C	GO:0031145
YBL085W	GO:0007118
YBL085W	GO:0000920
YBL086C	GO:0008150
YBL087C	GO:0002181
YBL087C	GO:0006412
YBL088C	GO:1904262
YBL088C	GO:0008630
YBL088C	GO:0006325
YBL088C	GO:0000077
YBL088C	GO:0006974
YBL088C	GO:0016572
YBL088C	GO:0016310
YBL088C	GO:0006975
YBL088C	GO:0006302
YBL088C	GO:0006281
YBL088C	GO:0010212
YBL088C	GO:0000723
YBL089W	GO:0015813
YBL089W	GO:0015825
YBL089W	GO:0015828
YBL089W	GO:1903400
YBL089W	GO:0055085
YBL089W	GO:1903401
YBL089W	GO:0089709
YBL089W	GO:0003333
YBL089W	GO:0006865
YBL090W	GO:0006412
YBL090W	GO:0070124
YBL090W	GO:0032543
YBL091C	GO:0006508
YBL091C	GO:0070084
YBL091C	GO:0035551
YBL091C-A	GO:0061817
YBL091C-A	GO:0008654
YBL091C-A	GO:0060304
YBL091C-A	GO:0090158
YBL092W	GO:0006412
YBL092W	GO:0002181
YBL093C	GO:0051123
YBL093C	GO:0000122
YBL093C	GO:0006357
YBL093C	GO:0045944
YBL093C	GO:0001113
YBL095W	GO:0008150
YBL097W	GO:0030261
YBL097W	GO:0007049
YBL097W	GO:2000373
YBL097W	GO:0000070
YBL097W	GO:0007076
YBL097W	GO:0070058
